,Speed (OBD)(km/h),Absolute Throttle Position B(%),Torque(Nm),CO2_emission_g_per_km
1247,90.0,31.76470566,18.70570425,159.3749282791393
1248,90.0,32.54901886,18.70570425,158.24406752479837
1249,90.0,32.15686417,18.70570425,158.24406752479837
1250,90.0,29.01960754,18.70570425,135.69133522129658
1255,91.0,28.62745094,37.66215911,128.08829640348412
1256,91.0,32.15686417,37.66215911,137.15730202431766
1257,92.0,32.54901886,32.06807568,138.51346847455085
1258,92.0,30.98039246,32.06807568,138.51346847455085
1259,92.0,30.98039246,32.06807568,127.9926913054884
1268,89.0,29.80392075,33.89707794,128.46936079566788
1269,89.0,29.80392075,33.89707794,131.35711376338298
1270,88.0,31.76470566,33.89707794,137.4706225874427
1271,88.0,31.76470566,33.89707794,137.4706225874427
1272,89.0,30.58823586,30.14735772,130.62715274388003
1273,88.0,31.76470566,30.14735772,130.27926501733114
1274,87.0,31.76470566,30.14735772,135.26862920067109
1281,88.0,32.15686417,31.7822354,131.96181514604282
1282,87.0,29.01960754,31.7822354,126.1023772168812
1304,88.0,36.47058868,27.85316452,209.7617240393962
1305,89.0,36.86274338,27.85316452,179.96650626796813
1306,89.0,36.86274338,18.88474071,211.5613280615737
1322,85.0,26.27450943,19.18790601,123.36097943946199
1323,86.0,26.27450943,34.7347097,122.4679227367755
1324,87.0,26.27450943,36.26221594,123.41188344134376
1325,88.0,27.45098114,31.17024402,123.78635566637182
1326,89.0,27.05882263,31.17024402,125.70105125954893
1327,89.0,30.58823586,31.17024402,130.09913465271887
1328,90.0,32.94117737,34.97886337,130.09913465271887
1340,91.0,33.33333206,31.87073927,141.7897976809088
1341,91.0,46.27450943,31.87073927,156.21680451631923
1368,90.0,33.33333206,36.00244531,133.8789578975246
1369,91.0,33.33333206,36.00244531,131.92059083336352
1370,91.0,32.15686417,19.76177691,129.81220476959047
1371,91.0,31.37254906,19.76177691,129.00039350084108
1372,91.0,30.58823586,19.76177691,127.90404926852335
1382,88.0,27.05882263,32.17637551,124.06541185653927
